Year,Month,Date,Brand,Product_Gender,Style_Name,Color,Stock_No,Width,Size,Product_Class,Billing_Name,Pairs
2017,7,07/17/2017,Sofft,F,Barris,Smoke,1108891,M,090,Sh,"Generations Boutique, Llc",1
2017,7,07/18/2017,Sofft,F,Barris,Black,1108871,M,100,Sh,The Shoe Salon,1
2017,7,07/18/2017,Sofft,F,Barris,Smoke,1108891,M,090,Sh,The Shoe Salon,2
2017,7,07/26/2017,Sofft,F,Barris,Black,1108871,M,075,Sh,Zappos Merchandising Inc,12
2017,7,07/26/2017,Sofft,F,Barris,Smoke,1108891,M,075,Sh,Dillards Department Store Inc,48
2017,7,07/26/2017,Sofft,F,Barris,Smoke,1108891,M,080,Sh,Dillards Department Store Inc,48
2017,7,07/26/2017,Sofft,F,Barris,Wine,1108802,M,070,Sh,Zappos Merchandising Inc,5
2017,7,07/27/2017,Sofft,F,Barris,Wine,1108802,M,060,Sh,Dillards Department Store Inc,19
2017,7,07/27/2017,Sofft,F,Barris,Wine,1108802,M,090,Sh,Dillards Department Store Inc,37
2017,7,07/27/2017,Sofft,F,Barris,Wine,1108802,M,110,Sh,Dillards Department Store Inc,4
2017,8,08/14/2017,Sofft,F,Barris,Black,1108871,M,085,Sh,Nordstrom Direct,1
2017,8,08/14/2017,Sofft,F,Barris,Wine,1108802,M,090,Sh,Nordstrom Direct,1
2017,8,08/18/2017,Sofft,F,Barris,Black,1108871,M,075,Sh,Soothe The Sole,1
2017,8,08/18/2017,Sofft,F,Barris,Black,1108871,M,100,Sh,Soothe The Sole,1
2017,8,08/18/2017,Sofft,F,Barris,Smoke,1108891,M,090,Sh,Soothe The Sole,1
2017,8,08/21/2017,Sofft,F,Barris,Black,1108871,M,110,Sh,Vision/Shoeline.Com,1
2017,8,08/21/2017,Sofft,F,Barris,Wine,1108802,M,110,Sh,Vision/Shoeline.Com,1
2017,8,08/25/2017,Sofft,F,Barris,Black,1108871,M,060,Sh,The Shoe Box,1
2017,8,08/25/2017,Sofft,F,Barris,Black,1108871,M,080,Sh,Dillards Department Store Inc,24
