Year,Month,Date,Brand,Product_Gender,Style_Name,Color,Stock_No,Width,Size,Product_Class,Billing_Name,Pairs
2019,1,01/25/2019,Sofft,F,Maretto,Black,SF0021601,M,065,Sh,Savon Shoes Inc,1
2019,1,01/25/2019,Sofft,F,Maretto,Black,SF0021601,M,080,Sh,Savon Shoes Inc,1
2019,1,01/25/2019,Sofft,F,Maretto,Grey,SF0021608,M,070,Sh,Savon Shoes Inc,1
2019,1,01/25/2019,Sofft,F,Maretto,Grey,SF0021608,M,090,Sh,Alecs Shoe Store,1
2019,1,01/30/2019,Sofft,F,Maretto,Black,SF0021601,M,085,Sh,Richard's Shoes,2
2019,1,01/30/2019,Sofft,F,Maretto,Grey,SF0021608,M,070,Sh,Richard's Shoes,1
2019,2,02/13/2019,Sofft,F,Maretto,Grey,SF0021608,M,090,Sh,Roxanne's Birkenstock,1
2019,2,02/20/2019,Sofft,F,Maretto,Black,SF0021601,M,100,Sh,R W Reed Company Inc,1
2019,2,02/20/2019,Sofft,F,Maretto,Grey,SF0021608,M,085,Sh,Eva Bryn Shoetique,1
2019,2,02/21/2019,Sofft,F,Maretto,Black,SF0021601,M,080,Sh,Discount Shoe Store Dba/,3
2019,2,02/21/2019,Sofft,F,Maretto,Black,SF0021601,M,085,Sh,Williams Brothers,2
2019,2,02/21/2019,Sofft,F,Maretto,Black,SF0021601,M,090,Sh,Discount Shoe Store Dba/,3
2019,2,02/21/2019,Sofft,F,Maretto,Cordovan,SF0021600,M,110,Sh,Dillards Department Store Inc,2
2019,2,02/22/2019,Sofft,F,Maretto,Cordovan,SF0021600,M,080,Sh,Whim Shoe Shop Llc,2
2019,2,02/25/2019,Sofft,F,Maretto,Cordovan,SF0021600,M,060,Sh,Whim Shoe Shop Llc,1
2019,3,03/03/2019,Sofft,F,Maretto,Black,SF0021601,M,090,Sh,G & S Inc Dba/,1
2019,3,03/08/2019,Sofft,F,Maretto,Cordovan,SF0021600,M,110,Sh,Zappos Merchandising Inc,4
2019,3,03/08/2019,Sofft,F,Maretto,Grey,SF0021608,M,075,Sh,Zappos Merchandising Inc,7
